Name,Module,Release No,Dependencies,Description,Supported,From field: Dependencies,Created
Shesha.Core-0.41.9,Shesha.Core,0.41.9,,Added Independent Notes Instances on Same Form,,"Shesha.Enterprise-2.4.15,Boxfusion.PublicPortal-0.7.8,BoxStack-15",2025-10-17 9:23am
Shesha.Core-0.41.8,Shesha.Core,0.41.8,,Added user profile form info,,"Shesha.Enterprise-2.4.14,Boxfusion.PublicPortal-0.7.7,BoxStack-14",2025-10-17 9:23am
Shesha.Core-0.41.7,Shesha.Core,0.41.7,,,,"Shesha.Enterprise-2.4.13,Boxfusion.PublicPortal-0.7.6,BoxStack-13",2025-10-17 9:23am
Shesha.Core-0.41.6,Shesha.Core,0.41.6,,Implemented caching for settings to improve performance,,"Shesha.Enterprise-2.4.9,Boxfusion.PublicPortal-0.7.5,BoxStack-12,BoxStack-11",2025-10-17 9:23am
Shesha.Core-0.41.5,Shesha.Core,0.41.5,,Installed Microsoft.VisualStudio.Threading.Aanlyzers and AsyncFixer. Fixed handing issues in async code occurring in some specific cases,,"Shesha.Enterprise-2.4.8,Boxfusion.PublicPortal-0.7.4,BoxStack-10",2025-10-17 9:23am
Shesha.Core-0.41.4,Shesha.Core,0.41.4,,Installed IDisposableAnalyzers and fixed memory leaks,,"Shesha.Enterprise-2.4.5,Boxfusion.PublicPortal-0.7.3,BoxStack-9",2025-10-17 9:23am
Shesha.Core-0.41.3,Shesha.Core,0.41.3,,Improving performance system,,"Shesha.Enterprise-2.4.4,Boxfusion.PublicPortal-0.7.2,BoxStack-8",2025-10-17 9:23am
Shesha.Core-0.41.2,Shesha.Core,0.41.2,,Updated migrator extensions,,"Shesha.Enterprise-2.4.2,Boxfusion.PublicPortal-0.7.1,BoxStack-7",2025-10-17 9:23am
Shesha.Core-0.41.1,Shesha.Core,0.41.1,,Added cc and senderText properties on notificationMessage,,"Shesha.Enterprise-2.4.0,Boxfusion.PublicPortal-0.7.0,BoxStack-6",2025-10-17 9:23am
Shesha.Core-0.41.0,Shesha.Core,0.41.0,,Enhanced the notification framework and allowed dynamic items to be configurable,,"Boxfusion.PublicPortal-0.6.0,BoxStack-5",2025-10-17 9:23am
